realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
172.7725434,Private room,FALSE,TRUE,2,FALSE,0,0,10,93,1,1.222582408,0.397760458,550.0784352,12.1872316,1075.412107,23.43062087,12.50181,41.88987
156.8746639,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,2.978481669,1.595742211,281.1627555,6.229285496,697.7250336,15.20173581,12.48654,41.92498
195.9179856,Private room,FALSE,TRUE,2,FALSE,1,0,9,80,1,0.935378798,0.64927252,482.7080588,10.69461104,1251.514249,27.26745932,12.49627,41.90801
298.5528254,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,9,90,1,2.203022845,0.494699232,691.7164214,15.32528397,1625.911297,35.42466272,12.477,41.907
131.3912982,Private room,FALSE,TRUE,3,FALSE,1,0,9,91,1,1.295983536,0.867472501,317.0740921,7.024917077,836.6160708,18.22783456,12.51544,41.89463
395.3428565,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,90,2,1.696878602,0.347571118,1026.390303,22.74013218,2271.195959,49.48385006,12.48208,41.90339
182.1242373,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,89,2,1.285504437,0.8651764,317.9869535,7.045141927,840.4727788,18.31186287,12.51535,41.8947
117.5975499,Private room,FALSE,TRUE,2,FALSE,0,1,9,90,1,1.883316653,0.203041427,245.9797638,5.449790716,700.3084502,15.25802219,12.51798,41.91309
265.12052,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,10,94,1,2.567960371,1.473020321,839.5064813,18.59963827,2764.040965,60.22174709,12.472,41.896
184.4621607,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,9,92,1,4.239377672,0.508953868,384.6760024,8.52266737,968.6366981,21.10424375,12.45359,41.9125
158.978795,Private room,FALSE,TRUE,2,TRUE,0,0,9,94,1,3.38004305,0.60589824,599.648221,13.28547217,1467.721619,31.9780934,12.46183,41.90463
186.5662918,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,96,0,5.684149366,0.989818832,242.6128975,5.375196299,560.5906899,12.21391115,12.43471,41.9094
184.4621607,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,86,1,4.580446718,0.553463804,396.8489834,8.792365161,794.8428128,17.31769661,12.44711,41.89905
110.5837795,Entire home/apt,FALSE,FALSE,2,TRUE,1,0,10,99,1,2.511497014,0.062274587,224.6093225,4.976319114,656.7802265,14.30964779,12.528,41.889
219.0634279,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,10,91,1,3.008395468,1.910852029,577.2815998,12.78992977,2336.86726,50.91466838,12.468,41.892
179.7863138,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,9,91,1,0.969364731,0.690113531,443.5140862,9.8262512,1242.222374,27.06501191,12.498,41.909
124.6113202,Private room,FALSE,TRUE,4,FALSE,1,0,9,92,1,4.323792988,0.422852106,450.8278378,9.988290609,983.8852576,21.43647287,12.45154,41.90982
115.2596264,Entire home/apt,FALSE,FALSE,3,FALSE,0,0,7,77,1,2.178501954,0.614630554,807.1723945,17.88326224,1778.873167,38.75733079,12.47632,41.90394
442.5689103,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,100,1,1.872741599,0.155016959,772.8489113,17.12281025,1596.156788,34.77638414,12.48132,41.90718
182.3580296,Entire home/apt,FALSE,FALSE,5,FALSE,0,0,9,87,0,4.561747091,0.451045317,231.657393,5.132472242,648.697506,14.13354492,12.481,41.863
108.245856,Private room,FALSE,TRUE,3,TRUE,1,0,10,94,1,4.515193521,0.404000548,232.7273745,5.156178156,644.4902685,14.04187942,12.48156,41.86328
299.7217871,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,88,1,0.904990522,0.094495486,791.8915621,17.54470862,1807.228954,39.37513459,12.49366,41.89585
317.9575901,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,88,2,3.953548147,1.126494724,312.6021176,6.925838499,908.0832087,19.78493012,12.46871,41.8756
208.5427723,Entire home/apt,FALSE,FALSE,3,FALSE,1,0,9,90,1,2.566606586,1.591320858,753.7809046,16.70035011,2162.197207,47.10903167,12.47256,41.8944
286.8632081,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,97,1,2.892346356,1.712725946,601.407459,13.32444887,2929.188884,63.8199196,12.47,41.891
140.7429921,Private room,FALSE,TRUE,4,FALSE,0,1,9,89,1,4.44263091,0.304344153,513.8561245,11.38471024,879.9324863,19.17159417,12.449,41.905
184.4621607,Private room,FALSE,TRUE,2,FALSE,1,0,9,91,1,1.111264511,0.843823692,458.9110307,10.16737733,1167.398618,25.4347838,12.49613,41.90977
111.7527412,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,2.678325172,0.772595374,291.4302994,6.456767481,720.039364,15.68791093,12.50772,41.87711
412.6434901,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,100,2,2.782975896,1.424945997,760.8355441,16.85664878,2039.612027,44.438198,12.46882,41.89888
239.6371543,Entire home/apt,FALSE,FALSE,4,FALSE,0,1,8,82,1,1.163478902,1.055184252,302.8091947,6.708871952,826.5804221,18.00918212,12.51622,41.90002
233.7923456,Private room,FALSE,TRUE,3,FALSE,0,1,10,96,1,2.651805022,0.742406859,626.5001739,13.8803891,1599.807185,34.85591745,12.47101,41.9059
103.8038015,Private room,FALSE,TRUE,2,FALSE,1,0,10,93,1,4.770439429,0.279689603,376.6023021,8.343790961,824.1759556,17.95679463,12.44513,41.90571
190.073177,Entire home/apt,FALSE,FALSE,4,TRUE,1,0,10,96,1,1.628808426,1.192222255,390.57185,8.653292487,937.0437391,20.41590982,12.497,41.915
207.6076029,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,9,95,2,4.477521653,0.366274023,234.4547562,5.194449063,648.5818845,14.13102581,12.48168,41.86361
196.151778,Entire home/apt,FALSE,FALSE,5,TRUE,1,0,10,99,2,3.864669656,0.338569924,262.8839169,5.824309721,694.9405202,15.14106802,12.487,41.868
182.1242373,Entire home/apt,FALSE,FALSE,6,FALSE,1,0,9,88,1,2.912555603,1.251283898,705.5037001,15.63074724,1757.178363,38.28465364,12.46716,41.90032
117.5975499,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,10,93,1,4.379669501,0.6955832,224.5946805,4.975994714,635.583811,13.84782932,12.48968,41.86258
155.7057022,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,90,1,7.696201443,0.419951569,150.5768193,3.336096186,371.5635518,8.095468385,12.41,41.908
368.6905291,Entire home/apt,FALSE,FALSE,5,FALSE,0,1,9,85,2,2.524357605,1.392018866,928.3349799,20.56767303,2431.055781,52.96680776,12.47234,41.89673
173.0063358,Private room,FALSE,TRUE,4,TRUE,0,1,10,97,1,3.597635012,0.429919724,327.3485684,7.252552654,937.1949873,20.41920515,12.47743,41.87432
96.79003109,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,5.459489697,1.538290167,229.0360879,5.074396064,561.964417,12.24384133,12.44207,41.92074
94.45210764,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,5.43992109,1.596011923,227.9138575,5.049532553,558.3250514,12.16454838,12.44274,41.92142
246.6509246,Entire home/apt,FALSE,FALSE,3,FALSE,0,1,9,86,1,2.564380184,1.345537515,989.110293,21.91417704,3209.950621,69.93703672,12.47163,41.89776
251.0929792,Entire home/apt,FALSE,FALSE,3,TRUE,1,0,10,97,1,3.184256121,2.028159959,531.7821348,11.78186895,1694.999255,36.92992171,12.46605,41.89137
472.7281229,Entire home/apt,FALSE,FALSE,4,FALSE,1,0,10,100,1,1.428346343,0.272639171,808.4707768,17.91202847,1678.509138,36.57064208,12.48592,41.90494
242.2088701,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,97,2,3.034447824,1.594728434,542.321011,12.01536242,2188.052693,47.67235998,12.47,41.888
161.5505108,Private room,FALSE,TRUE,2,FALSE,0,0,10,100,1,6.301224362,0.328465959,156.9998806,3.478401956,430.0050774,9.368767448,12.478,41.84712
169.9670353,Private room,FALSE,TRUE,3,FALSE,0,1,10,92,1,0.256690943,0.368479262,439.4444451,9.736086497,1155.064767,25.16605909,12.50501,41.90191
126.2478666,Private room,FALSE,TRUE,2,FALSE,0,1,9,86,1,0.230953553,0.344267446,446.9595527,9.902587038,1163.312329,25.34575347,12.50473,41.90181
123.2085662,Private room,FALSE,TRUE,2,TRUE,1,0,10,99,1,4.746593194,2.046425219,189.7329513,4.203617648,475.8312025,10.36720754,12.50522,41.8582
414.9814135,Entire home/apt,FALSE,FALSE,4,TRUE,0,0,10,96,1,2.5304694,1.305024328,1087.355647,24.09084642,3285.098054,71.57431699,12.472,41.898
227.0123676,Entire home/apt,FALSE,FALSE,6,FALSE,0,1,10,86,2,0.898085913,0.452846895,758.4761207,16.80437471,1679.054674,36.58252799,12.49158,41.89951
131.3912982,Private room,FALSE,TRUE,3,FALSE,0,1,8,65,1,5.673157522,0.47815216,177.7424412,3.937962582,492.8703941,10.73845019,12.48097,41.85234
173.0063358,Entire home/apt,FALSE,FALSE,6,TRUE,0,0,10,98,2,6.51343957,0.274290264,194.3671926,4.306291319,487.4273294,10.61985902,12.42391,41.90447
102.4010474,Private room,FALSE,TRUE,2,TRUE,1,0,10,95,1,4.285022896,2.100409628,311.3475801,6.898043666,818.282028,17.82838025,12.458,41.881
236.1302691,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,99,1,3.875075839,1.121189179,323.6306138,7.170179723,892.7035596,19.44984487,12.46882,41.87652
161.5505108,Private room,FALSE,TRUE,2,TRUE,0,0,10,98,1,4.561292436,2.178005907,280.8131819,6.221540536,741.5750805,16.15712195,12.45629,41.87836
184.4621607,Private room,FALSE,TRUE,2,TRUE,1,0,10,98,1,3.062301745,0.225720663,489.1212807,10.83669881,1396.341199,30.42288722,12.46728,41.90968
265.12052,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,100,1,5.44132388,0.405191289,186.5755552,4.133664138,518.5204846,11.29730343,12.48235,41.8542
